;title;artist;top genre;bpm;nrgy;dnce;dB;live;val;dur;acous;spch;pop;fecha
1;Hey, Soul Sister;Train;neo mellow;97;89;67;-4;8;80;217;19;4;83;18/05/2009
2;Love The Way You Lie;Eminem;detroit hip hop;87;93;75;-5;52;64;263;24;23;82;19/05/2013
3;TiK ToK;Kesha;dance pop;120;84;76;-3;29;71;200;10;14;80;23/11/2017
4;Bad Romance;Lady Gaga;dance pop;119;92;70;-4;8;71;295;0;4;79;18/05/2013
5;Just the Way You Are;Bruno Mars;pop;109;84;64;-5;9;43;221;2;4;78;02/03/2009
6;Baby;Justin Bieber;canadian pop;65;86;73;-5;11;54;214;4;14;77;08/09/2017
7;Dynamite;Taio Cruz;dance pop;120;78;75;-4;4;82;203;0;9;77;06/01/2010
8;Secrets;OneRepublic;dance pop;148;76;52;-6;12;38;225;7;4;77;14/03/2012
9;Empire State of Mind (Part II) Broken Down;Alicia Keys;hip pop;93;37;48;-8;12;14;216;74;3;76;27/03/2010
10;Only Girl (In The World);Rihanna;barbadian pop;126;72;79;-4;7;61;235;13;4;73;11/10/2010
11;Club Can't Handle Me (feat. David Guetta);Flo Rida;dance pop;128;87;62;-4;6;47;235;3;3;73;05/09/2016
12;Marry You;Bruno Mars;pop;145;83;62;-5;10;48;230;33;4;73;28/10/2017
13;Cooler Than Me - Single Mix;Mike Posner;dance pop;130;82;77;-5;70;63;213;18;5;73;12/09/2017
14;Telephone;Lady Gaga;dance pop;122;83;83;-6;11;71;221;1;4;73;31/01/2011
15;Like A G6;Far East Movement;dance pop;125;84;44;-8;12;78;217;1;45;72;05/09/2015
16;OMG (feat. will.i.am);Usher;atl hip hop;130;75;78;-6;36;33;269;20;3;72;05/05/2017
17;Eenie Meenie;Sean Kingston;dance pop;121;61;72;-4;11;83;202;5;3;71;06/12/2010
18;The Time (Dirty Bit);The Black Eyed Peas;dance pop;128;81;82;-8;60;44;308;7;7;70;30/08/2009
19;Alejandro;Lady Gaga;dance pop;99;80;63;-7;36;37;274;0;5;69;22/05/2009
20;Your Love Is My Drug;Kesha;dance pop;120;61;83;-4;9;76;187;1;10;69;18/01/2017
21;Meet Me Halfway;The Black Eyed Peas;dance pop;130;63;80;-7;32;40;284;0;7;68;19/10/2014
22;Whataya Want from Me;Adam Lambert;australian pop;186;68;44;-5;6;45;227;1;5;66;02/07/2012
23;Take It Off;Kesha;dance pop;125;68;73;-5;9;74;215;0;3;66;02/02/2012
24;Misery;Maroon 5;pop;103;81;70;-5;22;73;216;0;4;65;24/10/2015
25;All The Right Moves;OneRepublic;dance pop;146;95;53;-4;28;65;238;26;5;65;27/01/2014
26;Animal;Neon Trees;indie pop;148;83;48;-6;38;74;212;0;4;65;12/05/2010
27;Naturally;Selena Gomez & The Scene;dance pop;133;90;61;-5;5;88;203;2;5;64;22/09/2010
28;I Like It;Enrique Iglesias;dance pop;129;94;65;-3;6;73;231;2;9;63;05/04/2017
29;Teenage Dream;Katy Perry;dance pop;120;80;72;-5;13;59;228;2;4;63;23/08/2012
30;California Gurls;Katy Perry;dance pop;125;75;79;-4;18;40;235;0;5;62;31/03/2010
31;3;Britney Spears;dance pop;135;71;70;-2;14;79;213;5;5;62;27/05/2011
32;My First Kiss - feat. Ke$ha;3OH!3;dance pop;138;89;68;-4;36;83;192;1;8;62;14/04/2012
